,symbol,date,volume,market.cap,sector,industry,exchange
187,TXG,09/06/2020,678500,$9.31B,Capital Goods,Biotechnology: Laboratory Analytical Instruments,NASDAQ
188,TXG,10/06/2020,604100,$9.31B,Capital Goods,Biotechnology: Laboratory Analytical Instruments,NASDAQ
189,TXG,11/06/2020,600100,$9.31B,Capital Goods,Biotechnology: Laboratory Analytical Instruments,NASDAQ
190,TXG,12/06/2020,894500,$9.31B,Capital Goods,Biotechnology: Laboratory Analytical Instruments,NASDAQ
191,TXG,15/06/2020,1658900,$9.31B,Capital Goods,Biotechnology: Laboratory Analytical Instruments,NASDAQ
192,TXG,16/06/2020,848200,$9.31B,Capital Goods,Biotechnology: Laboratory Analytical Instruments,NASDAQ
193,TXG,17/06/2020,1495800,$9.31B,Capital Goods,Biotechnology: Laboratory Analytical Instruments,NASDAQ
194,TXG,18/06/2020,1259500,$9.31B,Capital Goods,Biotechnology: Laboratory Analytical Instruments,NASDAQ
195,TXG,19/06/2020,1893700,$9.31B,Capital Goods,Biotechnology: Laboratory Analytical Instruments,NASDAQ
196,TXG,22/06/2020,1275700,$9.31B,Capital Goods,Biotechnology: Laboratory Analytical Instruments,NASDAQ
197,TXG,23/06/2020,1703000,$9.31B,Capital Goods,Biotechnology: Laboratory Analytical Instruments,NASDAQ
198,TXG,24/06/2020,588200,$9.31B,Capital Goods,Biotechnology: Laboratory Analytical Instruments,NASDAQ
199,TXG,25/06/2020,873300,$9.31B,Capital Goods,Biotechnology: Laboratory Analytical Instruments,NASDAQ
200,TXG,26/06/2020,4483900,$9.31B,Capital Goods,Biotechnology: Laboratory Analytical Instruments,NASDAQ
201,TXG,29/06/2020,451700,$9.31B,Capital Goods,Biotechnology: Laboratory Analytical Instruments,NASDAQ
202,TXG,30/06/2020,529000,$9.31B,Capital Goods,Biotechnology: Laboratory Analytical Instruments,NASDAQ
203,TXG,01/07/2020,626700,$9.31B,Capital Goods,Biotechnology: Laboratory Analytical Instruments,NASDAQ
204,TXG,02/07/2020,584200,$9.31B,Capital Goods,Biotechnology: Laboratory Analytical Instruments,NASDAQ
205,TXG,06/07/2020,395200,$9.31B,Capital Goods,Biotechnology: Laboratory Analytical Instruments,NASDAQ
206,TXG,07/07/2020,323400,$9.31B,Capital Goods,Biotechnology: Laboratory Analytical Instruments,NASDAQ
207,TXG,08/07/2020,641900,$9.31B,Capital Goods,Biotechnology: Laboratory Analytical Instruments,NASDAQ
208,TXG,09/07/2020,447100,$9.31B,Capital Goods,Biotechnology: Laboratory Analytical Instruments,NASDAQ
209,TXG,10/07/2020,354400,$9.31B,Capital Goods,Biotechnology: Laboratory Analytical Instruments,NASDAQ
210,TXG,13/07/2020,403700,$9.31B,Capital Goods,Biotechnology: Laboratory Analytical Instruments,NASDAQ
211,TXG,14/07/2020,496300,$9.31B,Capital Goods,Biotechnology: Laboratory Analytical Instruments,NASDAQ
212,TXG,15/07/2020,254300,$9.31B,Capital Goods,Biotechnology: Laboratory Analytical Instruments,NASDAQ
213,TXG,16/07/2020,195800,$9.31B,Capital Goods,Biotechnology: Laboratory Analytical Instruments,NASDAQ
214,TXG,17/07/2020,329200,$9.31B,Capital Goods,Biotechnology: Laboratory Analytical Instruments,NASDAQ
215,TXG,20/07/2020,573400,$9.31B,Capital Goods,Biotechnology: Laboratory Analytical Instruments,NASDAQ
216,TXG,21/07/2020,2306800,$9.31B,Capital Goods,Biotechnology: Laboratory Analytical Instruments,NASDAQ
217,TXG,22/07/2020,256500,$9.31B,Capital Goods,Biotechnology: Laboratory Analytical Instruments,NASDAQ
218,YI,02/01/2019,4100,$560.04M,Health Care,Medical/Nursing Services,NASDAQ
219,YI,03/01/2019,4700,$560.04M,Health Care,Medical/Nursing Services,NASDAQ
220,YI,04/01/2019,10300,$560.04M,Health Care,Medical/Nursing Services,NASDAQ
221,YI,07/01/2019,10100,$560.04M,Health Care,Medical/Nursing Services,NASDAQ
222,YI,08/01/2019,60300,$560.04M,Health Care,Medical/Nursing Services,NASDAQ
223,YI,09/01/2019,38500,$560.04M,Health Care,Medical/Nursing Services,NASDAQ
224,YI,10/01/2019,6000,$560.04M,Health Care,Medical/Nursing Services,NASDAQ
225,YI,11/01/2019,2800,$560.04M,Health Care,Medical/Nursing Services,NASDAQ
226,YI,14/01/2019,6600,$560.04M,Health Care,Medical/Nursing Services,NASDAQ
227,YI,15/01/2019,8900,$560.04M,Health Care,Medical/Nursing Services,NASDAQ
228,YI,16/01/2019,9500,$560.04M,Health Care,Medical/Nursing Services,NASDAQ
229,YI,17/01/2019,10000,$560.04M,Health Care,Medical/Nursing Services,NASDAQ
230,YI,18/01/2019,29300,$560.04M,Health Care,Medical/Nursing Services,NASDAQ
231,YI,22/01/2019,400,$560.04M,Health Care,Medical/Nursing Services,NASDAQ
232,YI,23/01/2019,1700,$560.04M,Health Care,Medical/Nursing Services,NASDAQ
233,YI,24/01/2019,12900,$560.04M,Health Care,Medical/Nursing Services,NASDAQ
234,YI,25/01/2019,6000,$560.04M,Health Care,Medical/Nursing Services,NASDAQ
235,YI,28/01/2019,2900,$560.04M,Health Care,Medical/Nursing Services,NASDAQ
236,YI,29/01/2019,800,$560.04M,Health Care,Medical/Nursing Services,NASDAQ
237,YI,30/01/2019,15900,$560.04M,Health Care,Medical/Nursing Services,NASDAQ
238,YI,31/01/2019,16800,$560.04M,Health Care,Medical/Nursing Services,NASDAQ
239,YI,01/02/2019,10600,$560.04M,Health Care,Medical/Nursing Services,NASDAQ
240,YI,04/02/2019,10800,$560.04M,Health Care,Medical/Nursing Services,NASDAQ
241,YI,05/02/2019,7200,$560.04M,Health Care,Medical/Nursing Services,NASDAQ
242,YI,06/02/2019,15200,$560.04M,Health Care,Medical/Nursing Services,NASDAQ
243,YI,07/02/2019,14200,$560.04M,Health Care,Medical/Nursing Services,NASDAQ
244,YI,08/02/2019,26500,$560.04M,Health Care,Medical/Nursing Services,NASDAQ
245,YI,11/02/2019,1900,$560.04M,Health Care,Medical/Nursing Services,NASDAQ
246,YI,12/02/2019,1800,$560.04M,Health Care,Medical/Nursing Services,NASDAQ
247,YI,13/02/2019,2200,$560.04M,Health Care,Medical/Nursing Services,NASDAQ
248,YI,14/02/2019,11700,$560.04M,Health Care,Medical/Nursing Services,NASDAQ
249,YI,15/02/2019,13700,$560.04M,Health Care,Medical/Nursing Services,NASDAQ
250,YI,19/02/2019,6900,$560.04M,Health Care,Medical/Nursing Services,NASDAQ
